customer_id,firstName,lastName,email
307,Emily,Gonzalez,
308,Barbara,Davis,barbara.davis@hotmail.com
309,Betty,Williams,betty.williams@yahoo.com
310,John,Anderson,John.Anderson@domain
,Thomas,Brown,thomas.brown@yahoo.com
312,Betty,,@mail.org
313,Robert,Anderson,
314,,Moore,
315,Betty,Jackson,
316,Barbara,Jackson,barbara.jackson@mail.org
317,Barbara,Miller,barbara.miller@gmail.com
318,Sarah,Moore,sarah.moore@hotmail.com
,Karen,,karen.@example.com
320,Jessica,Williams,jessica.williams@company.com
321,William,Lopez,William.Lopez@nodomain
322,Thomas,Martin,Thomas.Martin@domain
323,Richard,Johnson,Richard.Johnson@domain
324,Thomas,Martin,Thomas.Martin@domain
325,,Gonzalez,.Gonzalezhotmail.com
326,Charles,Thomas,Charles.Thomas@domain
327,Jessica,Williams,Jessica.Williams@nodomain
CUST327,,Davis,.davis@test.com
329,Barbara,Hernandez,Barbara.Hernandezcompany.com
CUST329,Betty,,betty.@yahoo.com
331,Emily,Jones,Emily.Jones@nodomain
332,Jessica,Johnson,Jessica.Johnsonhotmail.com
333,Linda,Johnson,Linda.Johnson@domain
CUST333,Betty,Anderson,betty.anderson@test.com
335,Emily,,emily.@yahoo.com
336,Lisa,Martinez,@mail.org
337,Emily,Smith,@outlook.com
CUST337,Emily,,emily.@company.com
339,Lisa,Williams,Lisa.Williams@nodomain
340,Richard,Martinez,Richard.Martinez@nodomain
341,INVALID,Moore,@mail.org
342,Charles,Hernandez,charles.hernandez@yahoo.com
,,Wilson,.wilson@hotmail.com
344,Karen,Johnson,Karen.Johnson@domain
345,Michael,Wilson,
346,Karen,Taylor,Karen.Taylor@domain
347,William,Smith,william.smith@company.com
348,Joseph,Martinez,Joseph.Martinez@domain
349,Thomas,Davis,thomas.davis@yahoo.com
350,Lisa,Jackson,@company.com
351,Jessica,Hernandez,jessica.hernandez@yahoo.com
352,Richard,Rodriguez,@example.com
353,INVALID,,INVALID.@nodomain
354,Linda,Martinez,linda.martinez@company.com
355,,Johnson,@hotmail.com
356,Thomas,,thomas.@yahoo.com
357,John,Smith,@example.com
,Charles,Thomas,charles.thomas@mail.org
359,,Miller,.miller@mail.org
360,Jessica,Brown,Jessica.Brown@domain
361,Joseph,Gonzalez,joseph.gonzalez@example.com
362,James,Taylor,James.Taylor@nodomain
,Joseph,Rodriguez,joseph.rodriguez@company.com
364,Richard,Lopez,richard.lopez@hotmail.com
CUST364,Karen,Brown,karen.brown@example.com
366,James,Garcia,james.garcia@test.com
CUST366,Jessica,Thomas,jessica.thomas@company.com
368,Betty,Lopez,Betty.Lopez@nodomain
369,Karen,Smith,Karen.Smith@nodomain
370,William,Rodriguez,William.Rodriguez@nodomain
371,Robert,Johnson,
CUST371,James,Wilson,james.wilson@gmail.com
373,Richard,,richard.@test.com
374,INVALID,Davis,invalid.davis@gmail.com
375,Richard,Davis,richard.davis@hotmail.com
376,Barbara,Martinez,barbara.martinez@test.com
377,Robert,Lopez,Robert.Lopez@nodomain
378,Nancy,Hernandez,Nancy.Hernandez@nodomain
,Jessica,Lopez,jessica.lopez@gmail.com
380,Joseph,Jones,joseph.jones@outlook.com
381,Richard,Williams,Richard.Williams@domain
,Sarah,Miller,sarah.miller@example.com
383,Lisa,Williams,Lisa.Williams@domain
384,John,Smith,@outlook.com
385,Linda,,linda.@test.com
386,Nancy,Smith,nancy.smith@mail.org
387,Barbara,,@gmail.com
388,James,Gonzalez,James.Gonzalezyahoo.com
,Barbara,,barbara.@gmail.com
390,Nancy,Lopez,
391,James,Miller,james.miller@outlook.com
392,James,Thomas,james.thomas@yahoo.com
393,Sarah,,sarah.@example.com
394,David,Williams,David.Williams@nodomain
395,Charles,Martin,
396,Karen,Lopez,Karen.Lopezhotmail.com
397,INVALID,Brown,invalid.brown@hotmail.com
398,Jane,Taylor,jane.taylor@test.com
399,Lisa,Martin,lisa.martin@company.com
400,William,Moore,William.Moore@nodomain
401,Thomas,Johnson,thomas.johnson@gmail.com
,INVALID,,invalid.@example.com
403,Joseph,Wilson,joseph.wilson@gmail.com
,Richard,Martin,richard.martin@yahoo.com
405,Thomas,Jones,Thomas.Jones@domain
,,Anderson,.anderson@mail.org
407,Thomas,Martinez,
CUST407,John,Taylor,john.taylor@company.com
409,Sarah,Thomas,sarah.thomas@company.com
410,Sarah,Miller,sarah.miller@yahoo.com
411,,Smith,
412,Betty,Brown,@example.com
413,Richard,Anderson,Richard.Anderson@domain
,David,Johnson,david.johnson@yahoo.com
415,James,Garcia,james.garcia@mail.org
,Sarah,,sarah.@outlook.com
417,Joseph,Brown,Joseph.Brown@domain
418,John,Smith,
419,Emily,Williams,emily.williams@example.com
,Lisa,,lisa.@gmail.com
421,Jane,Williams,
CUST421,Jessica,Hernandez,jessica.hernandez@outlook.com
,Nancy,,nancy.@mail.org
CUST423,Sarah,Rodriguez,sarah.rodriguez@company.com
425,INVALID,Moore,@example.com
426,Lisa,Wilson,@gmail.com
CUST426,,Miller,.miller@company.com
428,John,Smith,John.Smith@nodomain
429,Betty,Moore,@hotmail.com
430,James,Garcia,james.garcia@test.com
431,,Williams,@test.com
432,,Williams,
433,Karen,Jackson,Karen.Jacksongmail.com
434,Barbara,Moore,@example.com
435,Linda,Lopez,linda.lopez@gmail.com
436,Joseph,Brown,Joseph.Brown@domain
437,Jessica,Gonzalez,
438,Jessica,,Jessica.@nodomain
439,Emily,Miller,emily.miller@gmail.com
440,,Gonzalez,.gonzalez@example.com
441,Linda,Brown,
442,Jane,Martinez,jane.martinez@company.com
443,Jessica,Smith,
444,Karen,Williams,Karen.Williams@domain
445,Emily,Martinez,Emily.Martinez@nodomain
446,James,Lopez,James.Lopezhotmail.com
447,Thomas,Martin,Thomas.Martin@nodomain
448,Thomas,,thomas.@company.com
449,Jane,Davis,jane.davis@example.com
450,Lisa,Williams,Lisa.Williamshotmail.com
,Sarah,Miller,sarah.miller@example.com
452,Lisa,Martin,Lisa.Martin@domain
453,Jane,Thomas,Jane.Thomasyahoo.com
454,,Smith,.Smith@domain
455,Charles,Jackson,Charles.Jackson@nodomain
,Joseph,Martin,joseph.martin@company.com
457,,Gonzalez,@hotmail.com
458,Robert,Martinez,Robert.Martinezyahoo.com
,Sarah,Smith,sarah.smith@test.com
460,Betty,Martin,betty.martin@mail.org
461,Nancy,Gonzalez,@hotmail.com
462,Barbara,,
463,Jane,Williams,jane.williams@outlook.com
464,Jessica,,@test.com
465,Linda,Garcia,linda.garcia@yahoo.com
CUST465,John,Williams,john.williams@hotmail.com
,William,Lopez,william.lopez@yahoo.com
468,Thomas,Moore,thomas.moore@outlook.com
469,Thomas,,Thomas.example.com
470,Jane,Miller,@example.com
471,James,Williams,@hotmail.com
472,Jane,Taylor,jane.taylor@gmail.com
473,Barbara,Gonzalez,barbara.gonzalez@example.com
474,Robert,Gonzalez,robert.gonzalez@outlook.com
CUST474,Thomas,Taylor,thomas.taylor@outlook.com
CUST475,Robert,Moore,robert.moore@example.com
477,Richard,Davis,richard.davis@outlook.com
,Jessica,,jessica.@mail.org
CUST478,INVALID,Williams,invalid.williams@gmail.com
480,Emily,Garcia,@test.com
,Richard,Jones,richard.jones@mail.org
482,Sarah,Lopez,sarah.lopez@outlook.com
483,Richard,Jones,Richard.Jones@nodomain
484,Jane,Garcia,@test.com
485,Betty,Brown,Betty.Brown@domain
486,David,Martin,David.Martintest.com
487,Nancy,Johnson,Nancy.Johnson@nodomain
488,Karen,Gonzalez,
489,William,,William.@nodomain
490,William,Hernandez,William.Hernandez@nodomain
,Nancy,Davis,nancy.davis@company.com
492,,Taylor,.Taylor@domain
493,John,Johnson,john.johnson@gmail.com
494,Thomas,Lopez,thomas.lopez@outlook.com
495,Jessica,Lopez,Jessica.Lopez@domain
,Karen,Moore,karen.moore@outlook.com
497,David,Martinez,david.martinez@test.com
498,Karen,,Karen.test.com
CUST498,David,Martin,david.martin@hotmail.com
,,Miller,.miller@hotmail.com
